feature,importance
numeric__Price_USD,0.3153002541710524
numeric__Mileage_KM,0.2578454928296805
numeric__Engine_Size_L,0.12466345357595318
numeric__Year,0.09834384748124843
categorical__Region_Europe,0.016041981328553993
categorical__Fuel_Type_Diesel,0.014453464352008453
categorical__Fuel_Type_Hybrid,0.013389101765914003
categorical__Color_Blue,0.013215238714585674
categorical__Transmission_Manual,0.012865529409842803
categorical__Fuel_Type_Petrol,0.01182251870588537
categorical__Region_South America,0.011647997385181717
categorical__Region_North America,0.01116327812766285
categorical__Region_Middle East,0.010317849335424602
categorical__Color_Grey,0.01008485864694585
categorical__Color_Black,0.009862911933934048
categorical__Color_Silver,0.008013337497770395
categorical__Region_Africa,0.007922710527816427
categorical__Region_Asia,0.006582593376462875
categorical__Model_M3,0.005809608997665826
categorical__Fuel_Type_Electric,0.00578232109190757
categorical__Transmission_Automatic,0.005169342166262256
categorical__Model_3 Series,0.004231143134433565
categorical__Model_7 Series,0.004222650701560711
categorical__Color_White,0.004043248696058951
categorical__Model_i8,0.003752031705540777
categorical__Model_X1,0.0029951884265183625
categorical__Model_X5,0.0026843674865502792
categorical__Color_Red,0.002513457362224516
categorical__Model_5 Series,0.001979484206090487
categorical__Model_X3,0.0016711839330068976
categorical__Model_M5,0.0016095529262562707
categorical__Model_X6,0.0
categorical__Model_i3,0.0
